673, 23, 1
414, 17, 2
442, 29, 0
355, 11, 1
572, 26, 0
289, 23, 1
98, 23, 2
79, 11, 2
486, 13, 0
670, 7, 2
368, 9, 1
434, 6, 2
125, 23, 1
331, 15, 0
660, 21, 1
518, 23, 0
633, 18, 2
751, 22, 2
834, 23, 0
214, 18, 2
498, 16, 2
326, 2, 0
832, 8, 2
725, 17, 1
509, 7, 0
530, 7, 1
640, 14, 2
134, 5, 2
457, 29, 1
756, 18, 2
369, 4, 2
391, 8, 2
47, 10, 2
774, 3, 1
496, 23, 0
52, 17, 2
619, 20, 1
385, 19, 2
607, 16, 0
463, 13, 2
554, 9, 1
157, 23, 2
435, 13, 1
164, 3, 0
307, 13, 2
90, 7, 0
353, 19, 2
112, 19, 1
667, 15, 1
721, 16, 0
313, 28, 0
575, 13, 0
488, 24, 0
534, 25, 1
393, 11, 1
731, 24, 1
698, 25, 0
754, 10, 1
60, 16, 0
704, 23, 0
549, 5, 0
422, 27, 2
783, 2, 0
36, 21, 2
692, 15, 0
185, 18, 2
713, 14, 0
630, 11, 2
640, 2, 0
685, 11, 0
468, 15, 0
475, 20, 0
782, 18, 1
168, 4, 2
136, 23, 2
766, 29, 2
153, 21, 2
513, 8, 1
685, 16, 2
576, 4, 0
771, 5, 0
622, 11, 1
277, 14, 2
204, 10, 0
417, 19, 2
225, 15, 0
554, 25, 2
541, 23, 2
291, 4, 0
166, 11, 1
827, 13, 2
456, 2, 1
5, 22, 2
107, 3, 1
443, 9, 2
113, 15, 0
583, 19, 0
163, 22, 2
822, 24, 2
25, 18, 2
