218, 0, 2
278, 1, 0
148, 14, 2
328, 2, 2
91, 18, 0
278, 9, 2
59, 7, 1
369, 16, 0
207, 3, 1
252, 13, 0
163, 7, 2
415, 15, 1
374, 9, 0
244, 10, 2
335, 9, 0
340, 7, 0
159, 12, 1
222, 11, 2
177, 15, 0
51, 2, 0
293, 10, 1
374, 16, 2
398, 4, 1
152, 11, 0
101, 14, 0
160, 7, 0
215, 9, 1
67, 9, 2
32, 14, 2
160, 5, 2
47, 18, 0
319, 6, 0
278, 16, 1
339, 5, 2
336, 12, 1
398, 0, 1
28, 6, 2
398, 12, 2
88, 0, 2
108, 14, 1
113, 9, 2
388, 5, 0
252, 8, 2
170, 12, 0
16, 13, 0
308, 1, 0
152, 6, 0
235, 6, 0
10, 14, 0
107, 8, 1
292, 12, 0
261, 5, 1
50, 4, 2
419, 19, 2
368, 12, 2
237, 14, 2
411, 9, 2
80, 7, 1
323, 4, 1
236, 8, 0
120, 7, 1
111, 5, 0
346, 12, 2
408, 9, 1
222, 9, 0
139, 15, 1
94, 1, 2
12, 9, 0
135, 15, 0
311, 10, 2
222, 0, 1
253, 13, 0
132, 14, 1
330, 1, 0
194, 13, 2
317, 15, 1
205, 15, 0
38, 11, 1
255, 1, 1
180, 3, 0
350, 13, 1
116, 10, 1
91, 6, 1
199, 9, 1
1, 9, 1
239, 13, 1
307, 9, 2
305, 15, 2
64, 12, 1
175, 2, 1
81, 13, 1
199, 18, 1
259, 11, 1
229, 13, 1
112, 13, 0
384, 14, 1
260, 15, 1
146, 1, 2
41, 6, 0
340, 14, 1
